PIM Command Stats:
                                      PIM-CMD :        CNT    Runtime(ms)     Energy(mJ)      %R      %W      %L
                                  abs.int32.v :          1       0.028860       0.018381   42.54   41.25   16.22
                                  add.int32.v :          1       0.038040       0.024271   62.59   31.29    6.12
                           add_scalar.int32.v :          1       0.026904       0.017149   44.25   44.25   11.51
                                  and.int32.v :          1       0.037248       0.023774   63.92   31.96    4.12
                           and_scalar.int32.v :          1       0.026112       0.016652   45.59   45.59    8.82
                            broadcast.int32.v :          2       0.025344       0.015826    0.00   93.94    6.06
                             copy_o2o.int32.v :          1       0.023808       0.015206   50.00   50.00    0.00
                                  div.int32.v :          1       1.937004       1.235437   59.07   32.82    8.10
                           div_scalar.int32.v :          1       1.614900       1.029440   48.70   40.10   11.20
                                   eq.int32.v :          1       0.038088       0.024301   62.51   31.25    6.24
                            eq_scalar.int32.v :          1       0.026952       0.017180   44.17   44.17   11.67
                                   gt.int32.v :          1       0.038832       0.024768   61.31   30.66    8.03
                            gt_scalar.int32.v :          1       0.027696       0.017646   42.98   42.98   14.04
                                   lt.int32.v :          1       0.038832       0.024768   61.31   30.66    8.03
                            lt_scalar.int32.v :          1       0.027696       0.017646   42.98   42.98   14.04
                                  max.int32.v :          1       0.064152       0.040923   74.22   18.56    7.22
                           max_scalar.int32.v :          1       0.041880       0.026681   56.85   28.42   14.73
                                  min.int32.v :          1       0.064152       0.040923   74.22   18.56    7.22
                           min_scalar.int32.v :          1       0.041880       0.026681   56.85   28.42   14.73
                                  mul.int32.v :          1       0.639168       0.407687   61.46   30.73    7.81
                           mul_scalar.int32.v :          1       0.455424       0.290187   43.13   43.13   13.74
                                   or.int32.v :          1       0.037272       0.023789   63.88   31.94    4.19
                            or_scalar.int32.v :          1       0.026136       0.016667   45.55   45.55    8.91
                             popcount.int32.v :          1       0.092424       0.058947   45.88   45.88    8.23
                               redmax.int32.v :          1       0.384912       0.245538   74.22   18.56    7.22
                         redmax_range.int32.v :          1       0.288684       0.184153   74.22   18.56    7.22
                               redmin.int32.v :          1       0.384912       0.245538   74.22   18.56    7.22
                         redmin_range.int32.v :          1       0.288684       0.184153   74.22   18.56    7.22
                               redsum.int32.v :          1       0.012683       0.008214   93.86    0.00    6.14
                         redsum_range.int32.v :          1       0.009512       0.006192   93.86    0.00    6.14
                        rotate_elem_l.int32.v :          1       0.026117       0.000090   45.58   45.58    8.82
                        rotate_elem_r.int32.v :          1       0.026117       0.000090   45.58   45.58    8.82
                           scaled_add.int32.v :          1       0.493464       0.314458   44.63   42.22   13.16
                         shift_bits_l.int32.v :          1       0.023460       0.000000   49.16   50.74    0.10
                         shift_bits_r.int32.v :          1       0.023460       0.000000   49.16   50.74    0.10
                         shift_elem_l.int32.v :          1       0.026117       0.000090   45.58   45.58    8.82
                         shift_elem_r.int32.v :          1       0.026117       0.000090   45.58   45.58    8.82
                                  sub.int32.v :          1       0.038040       0.024271   62.59   31.29    6.12
                           sub_scalar.int32.v :          1       0.026904       0.017149   44.25   44.25   11.51
                                 xnor.int32.v :          1       0.037248       0.023774   63.92   31.96    4.12
                          xnor_scalar.int32.v :          1       0.026112       0.016652   45.59   45.59    8.82
                                  xor.int32.v :          1       0.038040       0.024271   62.59   31.29    6.12
                           xor_scalar.int32.v :          1       0.026904       0.017149   44.25   44.25   11.51
                              TOTAL --------- :         44       7.626290       4.766804   54.25   37.45    8.30
