    Command  Max_Row_Access  Runtime_ms  Accesses_per_ms  Accesses_per_RI
        ABS               2    0.028860        69.300069      4435.204435
   POPCOUNT               9    0.092424        97.377305      6232.147494
        ADD               1    0.038040        26.288118      1682.439537
        SUB               1    0.038040        26.288118      1682.439537
        MUL              63    0.639168        98.565635      6308.200661
        DIV              95    1.937004        49.044814      3138.868066
        AND               1    0.037248        26.847079      1718.213058
         OR               1    0.037272        26.829792      1717.106675
        XOR               1    0.038040        26.288118      1682.439537
       XNOR               1    0.037248        26.847079      1718.213058
         GT               1    0.038832        25.751957      1648.125258
         LT               1    0.038832        25.751957      1648.125258
         EQ               1    0.038088        26.254988      1680.319261
        MIN               2    0.064152        31.175957      1995.261255
        MAX               2    0.064152        31.175957      1995.261255
 ADD_SCALAR               1    0.026904        37.169194      2378.828427
 SUB_SCALAR               1    0.026904        37.169194      2378.828427
 MUL_SCALAR              63    0.455424       138.332631      8853.288364
 DIV_SCALAR              95    1.614900        58.827172      3764.939006
 AND_SCALAR               1    0.026112        38.296569      2450.980392
  OR_SCALAR               1    0.026136        38.261402      2448.729721
 XOR_SCALAR               1    0.026904        37.169194      2378.828427
XNOR_SCALAR               1    0.026112        38.296569      2450.980392
  GT_SCALAR               1    0.027696        36.106297      2310.803004
  LT_SCALAR               1    0.027696        36.106297      2310.803004
  EQ_SCALAR               1    0.026952        37.102998      2374.591867
 MIN_SCALAR               2    0.041880        47.755492      3056.351480
 MAX_SCALAR               2    0.041880        47.755492      3056.351480
