    Command  Max_Row_Access  Runtime_ms  Accesses_per_ms  Accesses_per_RI
        ABS               2    0.001832      1092.001092     69888.069888
   POPCOUNT               0    0.001832         0.000000         0.000000
        ADD               1    0.002379       420.344683     26902.059689
        SUB               1    0.002379       420.344683     26902.059689
        MUL              31    0.020556      1508.075501     96516.832068
        DIV              47    0.062929       746.867526     47799.521687
        AND               1    0.002328       429.553265     27491.408935
         OR               1    0.002331       429.000429     27456.027456
        XOR               1    0.002379       420.344683     26902.059689
       XNOR               1    0.002328       429.553265     27491.408935
         GT               1    0.002430       411.522634     26337.448560
         LT               1    0.002430       411.522634     26337.448560
         EQ               1    0.002385       419.287212     26834.381551
        MIN               2    0.004011       498.628771     31912.241336
        MAX               2    0.004011       498.628771     31912.241336
 ADD_SCALAR               1    0.001683       594.177065     38027.332145
 SUB_SCALAR               1    0.001683       594.177065     38027.332145
 MUL_SCALAR              31    0.014640      2117.486339    135519.125683
 DIV_SCALAR              47    0.053891       872.138874     55816.887949
 AND_SCALAR               1    0.001632       612.745098     39215.686275
  OR_SCALAR               1    0.001635       611.620795     39143.730887
 XOR_SCALAR               1    0.001683       594.177065     38027.332145
XNOR_SCALAR               1    0.001632       612.745098     39215.686275
  GT_SCALAR               1    0.001734       576.701269     36908.881200
  LT_SCALAR               1    0.001734       576.701269     36908.881200
  EQ_SCALAR               1    0.001689       592.066311     37892.243931
 MIN_SCALAR               2    0.002619       763.650248     48873.615884
 MAX_SCALAR               2    0.002619       763.650248     48873.615884
